Date:,2026-04-25
Quartile 1,66.92317073170733,989.2770731707317,60.00560975609756,368.6117073170732,660.9868292682927
Quartile 2,67.33268292682928,989.2624390243903,57.89170731707317,377.3404878048781,661.420731707317
Quartile 3,67.16414634146342,989.1897560975609,58.21780487804877,384.70195121951224,663.3739024390244
Quartile 4,67.54181818181819,989.1159090909092,58.19636363636362,374.9806818181818,665.5059090909091
Date:,2026-04-18
Quartile 1,80.1828959276018,989.2006334841628,39.95117647058823,349.4376923076924,663.2632805429864
Quartile 2,79.34486425339367,989.8490950226245,45.01531674208144,343.3280316742082,645.0552714932128
Quartile 3,77.9150226244344,990.687737556561,49.18950226244343,307.3161312217194,621.8364253393665
Quartile 4,72.29475113122172,990.6929864253393,56.7081221719457,328.31033936651585,621.6809049773756
Date:,2026-04-12
Quartile 1,72.46048453608248,992.5862577319588,56.53045360824742,261.47704123711344,569.1588865979381
Quartile 2,73.23626804123712,992.2912474226804,55.87845360824742,269.61642268041237,577.2153814432988
Quartile 3,74.01142268041237,992.1213711340207,49.40080412371134,308.3188247422681,581.8731443298968
Quartile 4,73.80065979381443,992.9160721649486,47.93777319587629,293.09354639175257,559.8829587628866
Date:,2026-04-11
Quartile 1,71.41075794621027,991.2725183374082,60.55075183374083,227.6532334963325,605.5834474327628
Quartile 2,69.65044621026895,992.5871454767725,62.61231051344743,190.42793398533007,569.0217053789731
Quartile 3,78.07853911980439,991.11358801956,48.05228606356968,241.07691320293395,609.9759963325183
Quartile 4,73.9975533862111,991.6569310555217,49.27548505186089,288.5152043929225,594.8764673581452
Date:,2026-04-10
Quartile 1,67.58853752759381,990.5620695364239,72.00048013245033,188.30816225165563,625.3386810154525
Quartile 2,70.24753863134659,991.3527814569536,64.40511589403974,185.27235651214127,603.318940397351
Quartile 3,77.22395143487859,990.3789790286976,56.063272626931564,184.95990066225164,630.4340066225166
Quartile 4,80.81336639118457,990.8348815426998,50.16386776859504,195.87136639118458,617.764258953168
Date:,2026-04-09
Quartile 1,73.56335078534032,991.0435602094241,56.8190052356021,192.5697382198953,611.8994764397905
Quartile 2,75.17869109947645,991.2214659685864,53.92759162303664,191.99031413612562,607.004607329843
Quartile 3,76.68816753926701,991.4031937172774,55.02958115183247,142.29832460732985,601.8970157068063
Quartile 4,72.34880829015543,991.2538860103629,63.208652849740936,190.46875647668395,606.1071502590673
Date:,2026-04-08
Quartile 1,82.44636363636364,988.8022727272728,50.696363636363635,178.7213636363636,674.3
Quartile 2,78.37772727272728,988.8863636363636,54.562727272727265,211.40454545454543,671.7940909090909
Quartile 3,77.02727272727275,988.9590909090908,56.25454545454545,220.8168181818182,669.9440909090907
Quartile 4,76.48454545454545,989.0054545454543,57.08636363636364,225.02454545454546,668.7445454545453
Date:,2026-03-31
Quartile 1,81.57909090909091,989.118181818182,41.50363636363637,89.31272727272727,665.4127272727272
Quartile 2,80.78545454545456,989.1245454545452,41.197272727272725,91.12909090909092,665.2363636363636
Quartile 3,79.96909090909092,990.0854545454546,45.16818181818183,89.33181818181819,638.6090909090909
Quartile 4,76.53785714285713,991.1528571428571,56.14857142857142,120.99357142857143,608.9121428571428
